,infected_4h_1,infected_4h_2,infected_12h_1,infected_12h_2,infected_24h_1,infected_24h_2,mock_4h_1,mock_4h_2,mock_24h_1,mock_24h_2
A1BG,0.02,0,0.03,0,0.02,0,0,0.02,0,0
A1BG-AS1,0,0,0.13,0.1,0,0.02,0.04,0.14,0,0.02
A1CF,0.05,0.02,0,0,0,0.04,0,0.02,0.05,0
A2M,0.02,0.02,0,0,0,0.08,0,0,0.09,0.13
A2M-AS1,0.2,0.22,0,0.21,0.08,0.08,0.1,0.18,0.18,0.13
A2ML1,0.14,0.13,0,0,0.01,0,0,0,0,0.12
A2ML1-AS1,0,0,0,0,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0.06,0,0,0,0,0,0,0
A3GALT2,0,0,0,0.06,0,0,0.06,0,0,0
A4GALT,0.6,0.38,0.2,0.2,0.29,0.19,0.42,0.43,0.52,0.33
A4GNT,0.02,0.11,0,0,0.03,0.05,0.07,0,0.03,0.03
AAAS,8.34,6.19,3.89,3.52,3.36,3.22,10.44,7.37,9.77,9.44
AACS,7.08,7.82,2.72,2.9,2.88,2.11,7.55,4.73,4.85,5.49
AACSP1,0,0,0,0.02,0,0,0,0,0,0
AADAC,0.18,0.33,0.08,0.04,0,0,0.11,0.13,0.03,0.09
AADACL2,0,0.02,0,0,0,0,0,0.01,0,0.03
AADACL2-AS1,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0.01,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0
AADACP1,0.07,0.17,0,0,0,0.16,0,0.23,0.23,0.08
AADAT,1.21,2.82,0.88,0.91,0.97,0.48,1.65,1.26,1.58,2.29
AAGAB,21.53,23.96,12.29,12.19,10.05,12.04,27.42,18.23,25.46,30.82
AAK1,2.86,3.31,2.14,1.56,1.72,1.74,3.34,1.61,3.14,3.75
AAMDC,7.48,7.48,1.97,2.96,3.76,3.39,8.83,7.94,13.33,11.56
AAMP,43.14,45.8,20.85,20.95,16.92,17.68,50.48,38.74,65.81,54.74
AANAT,0,0,0.18,0.09,0,0.02,0,0.15,0,0
AAR2,16.42,16.41,7.72,8.23,8.69,9.1,17.45,11.91,13.7,13.85
AARD,0.16,0.04,0,0,0.02,0.02,0.02,0.04,0.26,0
AARS1,22.22,24.58,10.61,11.6,13.58,16.24,30.48,17.8,31.95,29.84
AARS1P1,0,0,0,0,0,0,0,0,0,0
AARS2,5.82,6.39,3.61,4,3.93,4.27,7.28,3.84,7.88,8.91
AARSD1,23.72,25.03,11.12,11.56,6.49,8.53,26.18,18.75,18.98,17.88
AASDH,1.3,2.77,0.76,0.76,1,1.37,1.75,0.95,1.9,1.91
AASDHPPT,11,13.01,3.67,3.47,3.7,5.57,12.68,10.72,9.17,13.99
AASS,1.34,1.87,1.59,1.38,1.9,2.05,1.69,1.09,2.53,2.61
AATBC,0.15,0.17,0.07,0.09,0.04,0.07,0.09,0.03,0.05,0.06
AATF,49.17,51.78,28.27,25.06,18.28,23.76,57.33,41.8,51.39,52.31
AATK,0.12,0.12,0.04,0.04,0.05,0.02,0.16,0.08,0.11,0.08
ABALON,2.86,3.55,1.6,1.09,1.35,1.87,3.84,2.22,3.03,2.73
ABAT,1,1.05,0.59,1.31,0.11,0.24,1.47,0.63,0.67,1.27
ABBA01000933.1,0,0,0,0,0,0,0,0,0,0
ABBA01000935.2,0,0,0,0,0,0,0,0,0,0
ABBA01006766.1,0,0,0,0,0,0,0,0,0,0
ABBA01010928.1,0,0,0,0,0,0,0,0,0,0
ABBA01031658.1,0,0,0,0,0,0,0,0,0,0
ABBA01031669.1,0,0,0,0,0,0,0,0,0,0
ABBA01037345.1,0,0,0,0,0,0,0,0,0,0
ABBA01037348.1,0,0,0,0,0,0,0,0,0,0
ABBA01045074.1,0,0,0,0,0,0,0,0,0,0
ABBA01045074.2,0,0,0,0,0,0,0,0,0,0
ABCA1,0.24,0.26,0.2,0.07,0.13,0.13,0.25,0.1,0.41,0.14
ABCA10,0,0.02,0.1,0.03,0.05,0.11,0.05,0.05,0,0
ABCA11P,1.26,1.03,0.3,0.43,0.77,1.04,1.19,0.72,1.19,1.42
ABCA12,0.25,0.22,0.21,0.1,0.18,0.27,0.27,0.26,0.26,0.3
ABCA13,1.18,0.87,0.72,0.45,0.41,0.46,1.28,0.6,1.05,1.31
ABCA17P,0.18,0.05,0.03,0,0.02,0.15,0.08,0.05,0.29,0.11
ABCA2,2.16,2.8,0.42,1.81,0.87,0.93,2.29,1.61,2.11,1.85
ABCA3,2.49,2.89,0.96,0.55,0.31,0.34,2.67,1.97,1.21,1.19
ABCA4,0.03,0,0.02,0,0,0,0.01,0.03,0.01,0.02
ABCA5,0.65,0.57,1.16,0.68,0.68,1.42,0.75,0.41,0.91,0.85
ABCA6,0,0,0.08,0.04,0.25,0.28,0,0.02,0.08,0.01
ABCA7,1.94,1.25,0.42,0.72,0.76,1.11,1.46,1.58,1.01,1.71
ABCA8,0,0,0,0,0,0,0,0,0,0
ABCA9,0,0.01,0.4,0.04,0.02,0.04,0,0,0,0
ABCA9-AS1,0,0,0,0,0,0,0,0,0,0
ABCB1,1.84,2.1,2.77,2,1.17,0.71,3.59,1.96,3.58,3.75
ABCB10,3.14,3.07,2.03,1.36,0.53,0.96,3.91,2.13,2.56,3.06
ABCB10P1,0,0,0,0,0,0,0,0,0.02,0
ABCB10P3,0.02,0,0,0,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0,0,0,0,0
ABCB11,0.09,0.05,0.04,0.05,0.09,0.1,0.06,0.16,0.12,0.1
ABCB4,0.02,0,0,0,0,0.38,0.01,0,0.07,0.08
ABCB5,0,0.02,0,0,0,0.03,0.02,0.14,0,0.11
ABCB6,2.42,3.85,2.23,2.09,1.92,0.68,3.63,1.98,2.52,2.58
ABCB7,6.16,7.7,6.05,4.59,3.33,4.78,9.34,4.12,8.79,10.88
ABCB8,3.21,3.49,1.96,2.15,2.02,1.68,3.97,2.42,5.66,5.26
ABCB9,7.08,6.4,2.81,2.6,2.82,1.94,8.58,4.75,5.86,3.63
ABCC1,4.13,3.64,1.58,1.4,1.27,1.88,4.14,1.7,3.2,4.14
ABCC10,3.31,3.33,1.69,1.23,1.11,2.14,3.99,2.14,3.48,2.76
ABCC11,0.01,0.1,0.02,0.02,0.01,0,0.11,0.08,0.09,0
ABCC12,0,0,0,0,0,0,0,0,0.02,0.04
ABCC13,0,0,0,0,0,0,0,0,0,0.02
ABCC2,0.31,0.23,0.15,0.18,0.44,0.14,0.18,0.14,0.19,0.4
ABCC3,8.48,8.05,2.34,2.99,2.36,3.08,13.69,5.28,4.86,5.48
ABCC4,2.67,2.25,0.9,0.6,0.72,0.81,3.02,1.63,2.64,2.83
ABCC5,7.16,9.28,4.25,3.4,2.6,3.1,9.95,5.78,9.4,6.85
ABCC5-AS1,0.13,0.16,0,0,0,0,0,0,0,0
ABCC6,0.49,0.5,0.52,0.25,0.2,0.25,0.62,0.57,1.48,0.64
ABCC6P1,0,0.2,0.16,0.25,0,0.04,0.26,0.23,0.22,0.19
ABCC6P2,0.67,0.24,0,0.2,0.27,0.08,0,0.48,0.17,0.32
ABCC8,0.11,0.01,0.03,0,0,0,0.01,0.01,0,0.22
ABCC9,0,0,0.01,0.02,0.09,0.1,0.04,0.01,0.04,0
ABCD1,1.18,1.51,0.7,0.75,0.95,0.94,1.16,0.57,1,0.91
ABCD1P2,0,0,0,0,0,0,0,0,0,0
ABCD1P3,0,0,0,0,0,0,0,0,0,0
ABCD1P4,0,0,0,0,0,0,0,0,0,0
ABCD1P5,0,0,0,0,0,0,0,0,0,0
ABCD2,0,0,0,0.03,0.02,0.01,0,0,0,0
ABCD3,13.62,16.15,6.84,6.04,5.54,5.44,17.03,12.75,20.74,21.07
ABCD4,2.81,2.3,1.98,1.57,1.36,3.02,3.43,2.92,3.69,4.54
ABCE1,31.14,35.52,12.68,15.83,12.35,14.23,39.46,23.72,36.32,31.72
ABCF1,19.96,21.75,14.45,13.85,13.08,13.61,24.38,15.83,27.19,24.28
ABCF2,17.14,17.49,8.93,7.96,5.96,6.61,19.93,14.56,17.85,17.98
ABCF2P1,0,0,0,0,0,0,0,0,0,0
ABCF2P2,0,0,0,0,0,0,0,0,0,0
ABCF3,19.78,22.5,10.45,9.33,11.95,12.89,27.94,15.6,23.51,19.7
ABCG1,0.07,0.03,0.02,0,0.23,0.16,0,0,0.02,0
ABCG2,0.05,0.02,0.01,0,0.08,0,0.16,0.06,0.01,0.07
ABCG4,0,0,0,0.01,0.03,0.01,0,0.01,0.01,0
ABCG5,0.17,0.04,0.02,0.02,0,0,0.1,0.04,0.02,0.04
ABCG8,0.06,0.06,0.04,0.02,0.01,0.04,0.05,0.06,0.03,0.13
ABHD1,0.45,0.6,0.23,0.04,0.43,0.07,1.46,1.14,0.55,0.1
ABHD10,6.26,6.22,2.99,3.22,2.41,2.66,6.16,6.98,6.28,8.08
ABHD11,19.46,16.71,7.54,6.03,4.48,4.35,18.3,14.19,12.57,10.84
ABHD11-AS1,3.49,0.85,0.33,0.31,0,0,0.54,0.51,1.42,0.59
ABHD12,2.14,2.36,1.26,1.25,0.61,1.78,2.4,1.52,2.78,4.51
ABHD12B,0,0.07,0,0,0,0.06,0,0.28,0.13,0.02
ABHD13,0.7,0.7,0.27,0.41,0.25,0.36,1.01,0.86,0.86,0.86
ABHD14A,1.17,2.02,0.68,0.48,0.95,0.79,1.81,1.99,2.39,1.2
ABHD14A-ACY1,0.79,0.27,0.27,0.24,0.43,0.38,1.17,0.84,1.25,0.4
ABHD14B,8.32,7.03,3.86,3.56,3.09,3.08,8.82,6.6,9.18,9.47
ABHD15,2.61,2.7,0.84,0.96,0.65,0.58,2.4,1.61,2.48,2.77
ABHD15-AS1,0,0,0.83,0,0,0,0,0,0,0
ABHD16A,15.57,14.52,10.17,11.45,9.73,10.42,17.99,14.33,22.57,18.84
ABHD16B,0,0,0,0,0,0,0,0,0,0
ABHD17A,7.69,6.85,3.27,4.16,3.45,3.39,6.04,5,7.61,7.66
