,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAAS,5.4860331347074,-0.178429588026114,0.483745762718395,0.201161103274181,0.904312265645408,0.999822123505485
AAGAB,17.6951729370963,0.0413404375947182,0.275967542612463,0.0677287094650794,0.966702624380458,0.999822123505485
AAMDC,5.28261490183777,0.190122534984175,0.477924966527007,1.94502542101342,0.378131707879901,0.999822123505485
AAMP,32.9386634821424,-0.0386450428912566,0.215602811249418,0.0436722112711578,0.978400576251936,0.999822123505485
AAR2,11.3850915857717,-0.122843880384661,0.352396856711258,0.248142731682258,0.88331679998688,0.999822123505485
AARS1,18.9614553274168,0.230139414791347,0.267601425810707,1.35736533256732,0.507284815787482,0.999822123505485
AARS2,4.75984825906359,0.373730644619692,0.534314671241438,0.541131472999858,0.762947744833351,0.999822123505485
AARSD1,15.0217419198553,-0.64342471810788,0.307876939810043,4.5021346331641,0.105286790233939,0.803832396759817
AASDHPPT,7.22848994434548,-0.376022316286652,0.424713117986838,2.34556220817333,0.309504977657597,0.999822123505485
AATF,36.8150511469912,-0.206924748239568,0.195674900922631,1.40948009107908,0.494237036680437,0.999822123505485
ABCB7,5.79613787371026,0.20155731667077,0.495888896732942,0.844961394982995,0.655418905433736,0.999822123505485
ABCC5,5.14559880073319,-0.335972220821607,0.516785374378682,0.425672271100012,0.808288576128141,0.999822123505485
ABCD3,10.6220268237354,-0.0285051992095768,0.35025600199073,0.071876727204824,0.964699752268175,0.999822123505485
ABCE1,22.5357234651449,-0.199436912513854,0.24544733695105,1.01603181817522,0.601688199375687,0.999822123505485
ABCF1,17.7803541876603,0.270631114695344,0.284880299812551,1.27272309538611,0.529214446853544,0.999822123505485
ABCF2,11.4996005130204,-0.356831447246041,0.341141653162811,1.10230618308445,0.576284917848497,0.999822123505485
ABCF3,15.755038672305,-0.0364937669609938,0.303627021259679,0.273321477419685,0.872266102062793,0.999822123505485
ABHD11,9.95703809583189,-0.911943193950317,0.388271710800656,5.77671560159447,0.0556675548040363,0.562029972880553
ABHD14B,5.32644753097586,-0.046176825717802,0.48746722505427,0.128522403716715,0.937760022877275,0.999822123505485
ABHD16A,13.6082420942012,0.25030891961548,0.328892973565783,1.12829941362779,0.568843625037595,0.999822123505485
ABHD17A,4.83381509414621,0.0231933147019777,0.52799207692965,0.0227599949656536,0.988684509759232,0.999822123505485
ABHD17C,7.21635027954938,-0.165886828257085,0.426040307834239,0.222977258894197,0.894501562322778,0.999822123505485
ABHD2,32.4573434159323,-0.505137974926569,0.236745406791074,4.73791538115081,0.0935782129168716,0.750598366584867
ABHD3,5.31676240519794,-0.555792106077777,0.519801203754531,1.18862312210238,0.551942413756918,0.999822123505485
ABI1,8.63051068571518,0.035438736875654,0.388302583492502,0.0161416625083248,0.99196165046085,0.999822123505485
ABL2,6.90155025023003,0.302699047493473,0.576301952474029,0.284977675671321,0.867197234036272,0.999822123505485
ABLIM1,13.4623920846473,-0.0200165199861278,0.309595611056115,0.890955693621315,0.640518133346303,0.999822123505485
ABLIM3,7.11639712055036,-0.606387881816745,0.432856760469801,2.4287561771452,0.296894599034289,0.999822123505485
ABR,8.85953103546466,-0.351162809016593,0.399846895691128,0.846870313829676,0.654793633129199,0.999822123505485
ABRACL,13.3332341505408,-0.476654878430529,0.321189952249203,2.22843932543558,0.328171263281209,0.999822123505485
ABT1,4.82580609304393,-0.215718633170765,0.521293689275545,0.234781070189733,0.889237846755503,0.999822123505485
AC004057.1,14.9718590237193,-0.232298480284306,0.326553054317555,0.982602191129324,0.611829827017524,0.999822123505485
AC005912.1,14.4061148084708,-0.502995901163818,0.352309616652911,5.60334373080379,0.0607084813242201,0.58852425844244
AC006064.4,19.6420181698424,-0.113900020446538,0.542021493404417,0.0508820227774294,0.974879884080183,0.999822123505485
AC006064.5,62.2536569413183,-0.454220950689816,1.89717191906942,4.9190565300722,0.0854752631284121,0.716424614192481
AC007599.3,7.51491421895626,0.395495691609472,3.53380050871638,3.29623942444012,0.192411357424465,0.999822123505485
AC007620.2,5.46264664356131,0.211685324998398,0.588526401187895,1.89197507869984,0.388295923995365,0.999822123505485
AC007952.4,8.06800450996012,1.91996332982907,0.725727752434316,7.32310665868449,0.0256925726873404,0.336379317248448
AC008038.1,15.4750717418203,-0.436350877827816,0.308540713084554,2.12038406516338,0.346389285913991,0.999822123505485
AC009412.1,4.6910165134472,-0.378744564796521,0.525004388521847,0.734920035726908,0.692491013525412,0.999822123505485
AC010132.3,5.89400891639101,-0.2100762917394,0.467691787546992,0.296153765617781,0.862364811364289,0.999822123505485
AC011195.1,11.5191882887807,1.20960863051152,0.758012908315683,4.14286390905466,0.126005218713492,0.880811649465143
AC011479.5,8.95526229993777,-1.09480182871724,0.918345916776882,1.34048482157711,0.51158454914024,0.999822123505485
AC011558.1,8.62025707137299,-0.252140120125535,0.484551651279649,1.78022879617151,0.410608777207334,0.999822123505485
AC012085.1,4.71122424747377,-0.286482602831524,0.545601822414122,0.444472528995959,0.800726158820334,0.999822123505485
AC015674.1,12.9230489182522,-0.680063633764848,0.923755369967957,0.688811118698965,0.708641473588484,0.999822123505485
AC015712.2,5.84109675560704,-0.0921018484043439,0.48057148050873,0.0372938079051437,0.981525873969793,0.999822123505485
AC018521.2,5.61518350989298,0.482229020037268,0.667268782149312,0.7898240973811,0.67373929289615,0.999822123505485
AC022149.1,65.3892078049465,-0.667367380158454,0.301452692998134,4.84750653624562,0.0885884963246723,0.73278093155517
AC023157.1,6.36970089251133,3.01581688747116,3.23991757833657,0.843536934987135,0.655885880716558,0.999822123505485
AC023389.1,5.40267152728071,3.95745830535818,3.37234840837155,1.98658602521996,0.370355096759498,0.999822123505485
AC024293.1,24.2649565998145,-0.444138385291602,0.305117823318603,2.12320245595235,0.345901499501487,0.999822123505485
AC025262.2,4.82244445754768,-0.227270053359542,0.604112129662563,0.162838088054791,0.921807332642434,0.999822123505485
AC026403.1,10.2949047913525,-0.849985072361187,0.556919972743192,2.31961683414841,0.313546245235803,0.999822123505485
AC051619.7,28.4254445140081,0.497726069250152,0.304848034740503,8.41720650211887,0.0148671194760256,0.233878613359287
AC053527.1,5.98812063704415,4.03267124607216,3.36883217091906,2.03155772642081,0.362120277805712,0.999822123505485
AC068631.3,6.3921156628886,0.148869993199143,0.676761571461323,0.439623915135925,0.802669719738407,0.999822123505485
AC073861.1,6.3022627064118,-0.386548714427836,0.489374487142589,1.59487137253756,0.450482663140667,0.999822123505485
AC073896.1,13.7579824133925,-0.779683376148473,0.333766246139003,6.21585389679502,0.0446935113257352,0.485066751273166
AC078802.2,78.9955411275195,0.388581601289043,0.258821254938548,2.46384353514853,0.291731398683386,0.999822123505485
AC087632.2,8.38768104469222,0.691352025431183,0.514120093892522,2.02405806757414,0.363480716190038,0.999822123505485
AC091825.1,5.38867197609412,0.579562759542256,3.25103724939852,0.866792650469517,0.648303501844974,0.999822123505485
AC091959.3,6.33538018417717,0.546493847115394,0.475344794340209,1.42099397488636,0.491399917175459,0.999822123505485
AC092069.1,9.65284722080285,0.147343556136279,0.452105614075629,0.503180135971832,0.777563420884541,0.999822123505485
AC093484.3,11.6283236332146,-0.0378229765450691,0.614556097452409,0.859186657424935,0.650773691892808,0.999822123505485
AC099329.1,9.14359613979601,-0.701320701566012,0.440156984511684,3.65093408130011,0.161142366516683,0.999822123505485
AC099336.2,20.0851121738096,-0.530677985704416,0.455192893936084,2.64177396436405,0.26689846276442,0.999822123505485
AC106795.1,23.389888541215,0.204797336820231,0.268273645634461,0.891717683389331,0.640274145696359,0.999822123505485
AC116533.1,128.024347275423,-0.355219500727146,0.127457288567873,7.95142213647398,0.0187659528763304,0.275294267737589
AC118549.1,7.21898211804428,-0.122501006554345,0.435434542404173,0.20596344825519,0.902143460789636,0.999822123505485
AC125611.3,46.5908111061088,-0.177269686258688,0.273449906476585,0.580390477240229,0.748117491892421,0.999822123505485
AC138866.1,16.5306100801898,0.270695611562901,0.289485695242529,0.873867506397843,0.646014226369042,0.999822123505485
AC138969.1,6.23149465792771,-0.0580907447951557,0.467329773565563,0.105350979150906,0.948687821623717,0.999822123505485
AC213203.2,4154.13702610564,0.152905094963765,0.816107463905971,0.324463468383414,0.850244151068,0.999822123505485
AC242842.2,5.1289450148842,5.03720393077618,3.37546019176463,2.25587475361731,0.323700239939892,0.999822123505485
AC243919.1,118.374816204301,-0.383081354180709,0.149324843609231,6.80992915552677,0.033207996362662,0.400958215070661
